OBJECTID,ID,GlobalID,ShapeSTArea,ShapeSTLength
1,18,{B78A1C2E-ED64-4EE3-AD34-2883C3790C0A},3468269.97762943,7598.29881611987
2,26,{C12B931C-DCB8-4303-B28E-DCAD14AB805D},346323.47800253,2733.33660643307
5,3,{786695D0-005B-422F-9726-A731674F4273},529699161.447573,174000.578525242
6,17,{2247684F-FA7A-4A85-B7E8-C2606673EBC6},4435231.53598794,9955.11927958164
8,27,{773861A9-4D46-4818-B92D-605380776CD9},292522.341568314,2176.9289689941
9,24,{BED9F56E-42A7-487E-BC9A-C2628978E471},491034.159919178,3395.11404995564
10,4,{9CDD3CE0-8A6D-4AC1-950D-18238DCBC6A1},168017728.648427,173461.753913021
11,16,{5E1D151B-77E8-46CA-8017-A92920F1A54B},6022196.22855197,11113.2790619689
12,23,{92C8FE9D-F845-474D-96CE-569CB4382BE8},1444047.17428047,5587.90481204362
13,22,{DFEC9BC8-56E1-4323-981D-E83BD3BC4E51},1587031.90272764,5920.26506102193
14,14,{3BB5EE94-2864-4202-B2CA-CA14164817F0},8102155.66427009,14849.2722518299
15,6,{3A38B878-BD67-4726-9059-B72946841CDA},100391805.04942,55405.8208973476
16,7,{C2D4E2AD-E0AB-4C49-BF62-7FDB2C56D5A8},93492562.6946178,98072.8961336873
20,5,{E19AFB24-D797-4399-A312-855CA0C59926},140344313.501125,94503.0686138152
21,19,{01E10905-62AE-4C9A-B88D-6B9BA1F24CAD},2077064.22136555,6915.16371308906
22,13,{903A3D78-CBA7-4D3C-9A11-B03A2FA6A048},8934557.71050297,14295.1279047752
23,28,{BAD1FBA5-8C00-49D7-A655-4A56EE3DD8E2},109991.434016885,2310.40065761809
25,29,{630F6E6E-D720-48A5-9FEA-C58B5A320D62},19685.2463584737,571.714090136529
28,21,{4E3D7E6D-ABBC-43DE-9752-ED048F1BA23A},1619660.0672206,6795.03387583503
32,8,{A02C848D-7C7D-4294-A58F-4AEF8E6A672A},24670624.6767539,30042.3040777728
36,15,{5E62348D-BEA7-48F4-BAB2-5853A0E09DE5},7035684.39322553,13584.4295822409
37,2,{5F5F9D33-44FA-4B48-9903-4AEE81E62291},2621512714.37486,459282.247724899
38,25,{6FF81D68-7E95-4B9E-ABA5-8D25D77C07FA},356344.75851627,4288.36276810466
39,11,{7E200317-B66E-4D4D-A910-74BB652E1CCA},10456587.9169933,16279.7592316497
41,9,{9E30C1D2-997D-4AD8-BEC8-8F55CAD8ECD5},23950593.5423513,37405.6682884017
42,12,{A0F0ACC7-044A-4F86-98AC-22A395ECBF7F},9835651.49182023,22418.3091676065
43,10,{D62DEC36-E803-474F-9D70-F7C3A86F5188},1336138.89193691,6136.66895782274
44,20,{EB1249DF-0E44-444C-BF0C-DAAE70277A23},1736587.01174756,8655.01221672302
47,1,{83E408CC-1487-4B7E-A4C8-147830F4145E},29159685654.8147,3867640.54960578
